date,TOTALCOST,VENDOR_ID,EXPENSECATEGORY_ID,status
"2017-07-12 05:00:00",5.06,4294,17488,2
"2017-07-12 05:00:00",5.00,7595042,17471,3
"2017-07-11 05:00:00",10.00,4284,17488,2
"2017-07-11 05:00:00",2.14,7595043,319019,2
"2017-07-11 05:00:00",2.14,7595045,319019,2
"2017-07-11 05:00:00",24.99,7595046,17490,2
"2017-07-11 05:00:00",94.39,7595047,17489,3
"2017-07-11 05:00:00",20.00,7595048,17460,2
"2017-07-11 05:00:00",1.12,4294,17488,2
"2017-07-11 05:00:00",57.71,7595049,17477,2
"2017-07-11 05:00:00",3.00,7595050,17471,3
"2017-07-11 05:00:00",2.74,7595051,17488,2
"2017-07-10 05:00:00",9.21,7595052,17488,2
"2017-07-10 05:00:00",20.00,4284,17488,2
"2017-07-10 05:00:00",59.99,7595053,17495,3
"2017-07-10 05:00:00",15.81,4298,17436,2
"2017-07-10 05:00:00",6.03,4294,17488,2
"2017-07-10 05:00:00",4.84,7595054,17495,3
"2017-07-10 05:00:00",102.78,4309,319019,3
"2017-07-10 05:00:00",3.83,7595055,17488,2
"2017-07-10 05:00:00",23.92,7595056,17495,3
"2017-07-10 05:00:00",13.99,7595057,17446,3
"2017-07-10 05:00:00",5.32,7595058,17488,2
"2017-07-10 05:00:00",5.12,4294,17488,2
"2017-07-10 05:00:00",3.23,4294,17488,2
"2017-07-10 05:00:00",13.27,7595059,17488,2
"2017-07-10 05:00:00",5.30,4294,17488,2
"2017-07-10 05:00:00",3.00,7595060,17471,3
"2017-07-10 05:00:00",8.61,4294,17488,2
"2017-07-10 05:00:00",20.00,7595061,17460,2
"2017-07-10 05:00:00",4.72,4294,17488,2
"2017-07-10 05:00:00",2.63,7595062,17471,3
"2017-08-09 05:00:00",80.00,7606845,17446,3
"2017-08-09 05:00:00",9.95,7606846,17471,3
"2017-08-09 05:00:00",3.73,4294,17488,2
"2017-08-09 05:00:00",1.55,4294,17488,2
"2017-08-09 05:00:00",7.02,4294,17488,2
"2017-08-09 05:00:00",6.72,4294,17488,2
"2017-08-09 05:00:00",13.99,7606891,17495,3
"2017-08-09 05:00:00",44.58,7606892,17471,3
"2017-08-09 05:00:00",9.99,7606893,17495,3
"2017-08-09 00:00:00",20.00,7606894,17460,2
"2017-08-09 05:00:00",8.78,7606895,17488,2
"2017-08-10 05:00:00",0.94,7627189,319019,2
"2017-08-10 00:00:00",35.00,7627225,17495,3
"2017-08-10 05:00:00",6.72,4294,17488,2
"2017-08-10 05:00:00",6.00,7627226,17460,2
"2017-08-10 05:00:00",484.31,7627227,17495,3
"2017-08-10 05:00:00",232.95,7627228,17495,3
"2017-08-11 05:00:00",10.00,7646025,17446,3
"2017-08-11 05:00:00",8.43,7646026,17495,2
"2017-08-11 05:00:00",4.90,7646045,17488,2
"2017-08-11 05:00:00",16.07,100967,17488,2
"2017-08-11 05:00:00",5.00,7646046,17471,3
"2017-08-14 05:00:00",4.19,4294,17488,2
"2017-08-14 05:00:00",19.20,4298,17436,3
"2017-08-14 05:00:00",50.83,4308,17488,3
"2017-08-14 05:00:00",17.61,7698193,17495,2
"2017-08-14 05:00:00",3.00,7698194,17488,2
"2017-08-14 05:00:00",3.83,7698195,17488,2
"2017-08-14 05:00:00",13.43,4298,17436,2
"2017-08-14 05:00:00",7.78,7698196,17495,2
"2017-08-14 05:00:00",3.83,7698197,17488,2
"2017-08-14 05:00:00",18.63,4309,319019,2
"2017-08-14 05:00:00",6.00,7698198,17460,2
"2017-08-14 05:00:00",3.83,7698199,17488,2
"2017-08-14 05:00:00",50.33,4320,17436,2
"2017-08-14 05:00:00",4.68,4294,17488,2
"2017-08-14 05:00:00",2.74,7698200,17488,2
"2017-08-14 05:00:00",22.77,4298,17436,2
"2017-08-14 05:00:00",15.00,7698287,17446,3
"2017-08-14 05:00:00",144.00,7698288,17446,3
"2017-08-14 05:00:00",49.00,7698289,17446,3
"2017-08-14 05:00:00",5.30,4294,17488,2
"2017-08-14 05:00:00",5.30,411527,17488,3
"2017-08-14 05:00:00",6.80,4294,17488,2
"2017-08-14 05:00:00",20.00,4284,17488,2
"2017-08-14 05:00:00",12.37,7698290,17436,2
"2017-08-15 05:00:00",10.74,4321,319019,3
"2017-08-15 05:00:00",19.20,4298,17436,3
"2017-08-15 05:00:00",2.34,7734519,319019,2
"2017-08-15 05:00:00",19.41,7734522,319019,2
"2017-08-15 05:00:00",24.01,4298,17436,2
"2017-08-15 05:00:00",7.86,4294,17488,2
"2017-08-15 00:00:00",35.00,7734558,17495,3
"2017-08-15 05:00:00",484.31,2687780,17446,3
"2017-08-16 05:00:00",25.09,7757798,17436,2
"2017-08-16 05:00:00",547.08,7757799,17490,2
"2017-08-16 05:00:00",6.00,7757800,17460,2
"2017-08-16 05:00:00",4.94,4294,17488,2
"2017-08-16 05:00:00",7.89,7757801,17488,2
"2017-08-16 05:00:00",4.51,7757802,17488,2
"2017-08-16 05:00:00",5.30,4294,17488,2
"2017-08-16 05:00:00",3.78,7757803,17488,2
"2017-08-16 05:00:00",10.61,411527,17488,3
"2017-08-31 00:00:00",35.00,8074930,17495,3
"2017-07-03 00:00:00",17.00,1039248,21560,3
"2017-07-05 00:00:00",8.00,1039248,21560,3
"2017-07-05 00:00:00",5.00,415037,21510,3
"2017-07-10 00:00:00",5.00,415037,21510,3
"2017-07-12 00:00:00",100.00,7075166,21510,3
"2017-07-13 00:00:00",35.00,7087272,21510,3
"2017-07-13 00:00:00",35.00,7087273,21510,3
"2017-07-14 00:00:00",35.00,7104071,21510,3
"2017-07-17 00:00:00",8.00,1039248,21560,3
"2017-07-18 00:00:00",1.00,1039248,21560,3
"2017-07-19 00:00:00",1.00,1039248,21560,3
"2017-07-20 00:00:00",5.00,1039248,21560,3
"2017-07-21 00:00:00",4.00,1039248,21560,3
"2017-07-24 00:00:00",26.00,1039248,21560,3
"2017-07-25 00:00:00",7.00,1039248,21560,3
"2017-07-26 00:00:00",6.00,1039248,21560,3
"2017-07-27 00:00:00",13.00,1039248,21560,3
"2017-07-28 00:00:00",3.00,1039248,21560,3
